image_id,category_id,score,bbox_xyxy,bbox_xywh,is_tp,matched_gt_index,best_same_iou,best_any_iou,best_any_class,error_type,file_name,predicted_class,best_any_class_name
454,2,0.6460822820663452,"[242.44752502441406, 390.4625549316406, 433.6259460449219, 598.999267578125]","[242.44752502441406, 390.4625549316406, 191.1784210205078, 208.53671264648438]",False,,0.4396144205005408,0.4396144205005408,2,localization,Japan_007283.jpg,D20,D20
702,1,0.6404708623886108,"[0.31114518642425537, 373.5141906738281, 115.27381896972656, 403.0064697265625]","[0.31114518642425537, 373.5141906738281, 114.96267378330231, 29.492279052734375]",False,,0.0,0.0,2,background_or_unlabeled,Japan_011660.jpg,D10,D20
664,0,0.6382567286491394,"[1.4583796262741089, 45.924102783203125, 142.71107482910156, 219.019287109375]","[1.4583796262741089, 45.924102783203125, 141.25269520282745, 173.09518432617188]",False,,0.0,0.0,1,background_or_unlabeled,Japan_011145.jpg,D00,D10
534,1,0.6374647617340088,"[209.62930297851562, 507.86474609375, 348.45379638671875, 535.3784790039062]","[209.62930297851562, 507.86474609375, 138.82449340820312, 27.51373291015625]",False,,0.4141816603718963,0.4141816603718963,1,localization,Japan_008755.jpg,D10,D10
302,2,0.6367527842521667,"[0.9505391120910645, 328.0270690917969, 188.59642028808594, 515.3466796875]","[0.9505391120910645, 328.0270690917969, 187.64588117599487, 187.31961059570312]",False,,0.35072792296985955,0.35072792296985955,2,localization,Japan_004836.jpg,D20,D20
397,0,0.6360191702842712,"[0.2224445343017578, 373.4759216308594, 114.92562103271484, 455.55517578125]","[0.2224445343017578, 373.4759216308594, 114.70317649841309, 82.07925415039062]",False,,0.0,0.6691626663783198,1,class_confusion,Japan_006325.jpg,D00,D10
623,2,0.635199248790741,"[256.02532958984375, 409.5330505371094, 571.2633666992188, 580.0723266601562]","[256.02532958984375, 409.5330505371094, 315.238037109375, 170.53927612304688]",False,,0.48476141710603915,0.48476141710603915,2,localization,Japan_010608.jpg,D20,D20
763,0,0.6337913274765015,"[382.9324645996094, 387.0963439941406, 422.6158752441406, 480.52789306640625]","[382.9324645996094, 387.0963439941406, 39.68341064453125, 93.43154907226562]",False,,0.0,0.0,3,background_or_unlabeled,Japan_012598.jpg,D00,D40
581,1,0.6334154009819031,"[-0.33763647079467773, 381.849853515625, 443.204833984375, 432.0338439941406]","[-0.33763647079467773, 381.849853515625, 443.5424704551697, 50.183990478515625]",False,,0.4311033165658406,0.4311033165658406,1,localization,Japan_009785.jpg,D10,D10
759,3,0.6319430470466614,"[117.09002685546875, 550.3472900390625, 180.53761291503906, 588.9827270507812]","[117.09002685546875, 550.3472900390625, 63.44758605957031, 38.63543701171875]",False,,0.0,0.0,3,background_or_unlabeled,Japan_012465.jpg,D40,D40
400,2,0.6311745643615723,"[89.83808898925781, 454.7568664550781, 244.8970489501953, 594.48193359375]","[89.83808898925781, 454.7568664550781, 155.0589599609375, 139.72506713867188]",False,,0.4531750612860143,0.4531750612860143,2,localization,Japan_006364.jpg,D20,D20
638,1,0.6305328011512756,"[122.0611801147461, 261.34814453125, 348.19775390625, 305.9359130859375]","[122.0611801147461, 261.34814453125, 226.1365737915039, 44.5877685546875]",False,,0.35496312282175313,0.35496312282175313,1,localization,Japan_010837.jpg,D10,D10
10,2,0.6274058222770691,"[187.37203979492188, 358.0508728027344, 291.9736022949219, 490.12799072265625]","[187.37203979492188, 358.0508728027344, 104.6015625, 132.07711791992188]",False,,0.4412338444930081,0.4412338444930081,2,localization,Japan_000128.jpg,D20,D20
710,0,0.6269980072975159,"[9.186994552612305, 437.1515808105469, 122.66372680664062, 591.6088256835938]","[9.186994552612305, 437.1515808105469, 113.47673225402832, 154.45724487304688]",False,,0.0,0.8052097920860898,2,class_confusion,Japan_011787.jpg,D00,D20
619,1,0.6254534721374512,"[145.9792022705078, 434.6798095703125, 261.73150634765625, 456.35162353515625]","[145.9792022705078, 434.6798095703125, 115.75230407714844, 21.67181396484375]",False,,0.0,0.02039647450981369,2,background_or_unlabeled,Japan_010526.jpg,D10,D20
307,0,0.6245217323303223,"[449.0983581542969, 467.1282958984375, 561.2899780273438, 581.6371459960938]","[449.0983581542969, 467.1282958984375, 112.19161987304688, 114.50885009765625]",False,,0.0,0.6037092754819529,2,class_confusion,Japan_004964.jpg,D00,D20
486,3,0.6202887296676636,"[265.59710693359375, 546.910888671875, 338.29180908203125, 581.0760498046875]","[265.59710693359375, 546.910888671875, 72.6947021484375, 34.1651611328125]",False,,0.0,0.08832555255888112,2,background_or_unlabeled,Japan_007782.jpg,D40,D20
102,0,0.6184026002883911,"[407.7054138183594, 524.7454223632812, 495.9071960449219, 595.95703125]","[407.7054138183594, 524.7454223632812, 88.2017822265625, 71.21160888671875]",False,,0.4805243608390748,0.4805243608390748,0,localization,Japan_001890.jpg,D00,D00
495,0,0.6174652576446533,"[158.3490753173828, 467.7971496582031, 303.6123352050781, 598.754150390625]","[158.3490753173828, 467.7971496582031, 145.2632598876953, 130.95700073242188]",False,,0.47306717617379884,0.47306717617379884,0,localization,Japan_007951.jpg,D00,D00
617,0,0.6168391704559326,"[526.3739624023438, 459.8289794921875, 597.69677734375, 509.9698181152344]","[526.3739624023438, 459.8289794921875, 71.32281494140625, 50.140838623046875]",False,,0.0,0.0,3,background_or_unlabeled,Japan_010510.jpg,D00,D40
774,2,0.6127763390541077,"[59.58601379394531, 353.904541015625, 334.93939208984375, 598.9503173828125]","[59.58601379394531, 353.904541015625, 275.35337829589844, 245.0457763671875]",False,,0.3187556082429734,0.3187556082429734,2,localization,Japan_012807.jpg,D20,D20
480,1,0.6125582456588745,"[112.43499755859375, 483.51336669921875, 264.5111999511719, 513.1947631835938]","[112.43499755859375, 483.51336669921875, 152.07620239257812, 29.681396484375]",False,,0.02352316699153643,0.02352316699153643,1,background_or_unlabeled,Japan_007679.jpg,D10,D10
62,1,0.6114786863327026,"[327.82928466796875, 493.44305419921875, 578.1092529296875, 524.3695678710938]","[327.82928466796875, 493.44305419921875, 250.27996826171875, 30.926513671875]",False,,0.4575578253336054,0.4575578253336054,1,localization,Japan_001157.jpg,D10,D10
229,0,0.610517144203186,"[52.667964935302734, 35.51813507080078, 287.3990173339844, 364.3717346191406]","[52.667964935302734, 35.51813507080078, 234.73105239868164, 328.85359954833984]",False,,0.4488828598915919,0.4488828598915919,0,localization,Japan_003821.jpg,D00,D00
56,0,0.6091016530990601,"[412.893310546875, 96.26716613769531, 550.0970458984375, 345.2549133300781]","[412.893310546875, 96.26716613769531, 137.2037353515625, 248.9877471923828]",False,,0.0,0.0,3,background_or_unlabeled,Japan_000994.jpg,D00,D40
6,0,0.608051061630249,"[200.6044158935547, 483.09722900390625, 248.78955078125, 585.533447265625]","[200.6044158935547, 483.09722900390625, 48.18513488769531, 102.43621826171875]",False,,0.30389576167202,0.30389576167202,0,localization,Japan_000072.jpg,D00,D00
9,0,0.6070162653923035,"[188.5998077392578, 525.6561889648438, 241.873779296875, 588.26904296875]","[188.5998077392578, 525.6561889648438, 53.27397155761719, 62.61285400390625]",False,,0.3987246323942152,0.3987246323942152,0,localization,Japan_000113.jpg,D00,D00
100,2,0.6034666895866394,"[37.506507873535156, 381.0220947265625, 353.0517272949219, 597.6937866210938]","[37.506507873535156, 381.0220947265625, 315.5452194213867, 216.67169189453125]",False,,0.3958226494379492,0.3958226494379492,2,localization,Japan_001878.jpg,D20,D20
256,3,0.6018878817558289,"[248.1779327392578, 530.9342651367188, 300.5660400390625, 566.0870361328125]","[248.1779327392578, 530.9342651367188, 52.38810729980469, 35.15277099609375]",False,,0.0,0.0,0,background_or_unlabeled,Japan_004176.jpg,D40,D00
722,2,0.6006075143814087,"[267.4220275878906, 386.4574890136719, 598.9876098632812, 598.8155517578125]","[267.4220275878906, 386.4574890136719, 331.5655822753906, 212.35806274414062]",False,,0.23083174349766483,0.23083174349766483,2,localization,Japan_011903.jpg,D20,D20
628,2,0.5989506244659424,"[6.020631313323975, 40.022247314453125, 539.3250732421875, 531.8741455078125]","[6.020631313323975, 40.022247314453125, 533.3044419288635, 491.8518981933594]",False,,0.4781017777014197,0.4781017777014197,2,localization,Japan_010686.jpg,D20,D20
595,0,0.5978195667266846,"[291.6887512207031, 457.12030029296875, 416.6952209472656, 599.246337890625]","[291.6887512207031, 457.12030029296875, 125.0064697265625, 142.12603759765625]",False,,0.0,0.8789556089101175,2,class_confusion,Japan_010111.jpg,D00,D20
79,0,0.5973057746887207,"[360.53338623046875, 380.9140930175781, 392.6365661621094, 491.91693115234375]","[360.53338623046875, 380.9140930175781, 32.103179931640625, 111.00283813476562]",False,,0.19975022901138792,0.19975022901138792,0,localization,Japan_001514.jpg,D00,D00
41,2,0.5971945524215698,"[117.45729064941406, 305.4272766113281, 241.92666625976562, 450.2569885253906]","[117.45729064941406, 305.4272766113281, 124.46937561035156, 144.8297119140625]",False,,0.19369015010534987,0.19369015010534987,2,localization,Japan_000680.jpg,D20,D20
268,1,0.5969436168670654,"[0.45388340950012207, 435.5455322265625, 95.85975646972656, 461.4717102050781]","[0.45388340950012207, 435.5455322265625, 95.40587306022644, 25.926177978515625]",False,,0.0,0.0,2,background_or_unlabeled,Japan_004283.jpg,D10,D20
404,0,0.5965456366539001,"[177.4197998046875, 356.6186218261719, 251.3961181640625, 466.10052490234375]","[177.4197998046875, 356.6186218261719, 73.976318359375, 109.48190307617188]",False,,0.0,0.8689888637453878,2,class_confusion,Japan_006423.jpg,D00,D20
288,0,0.5960851907730103,"[471.80780029296875, 467.7712707519531, 550.3079833984375, 545.978759765625]","[471.80780029296875, 467.7712707519531, 78.50018310546875, 78.20748901367188]",False,,0.0,0.0,1,background_or_unlabeled,Japan_004620.jpg,D00,D10
752,0,0.5937337875366211,"[158.15777587890625, 326.194091796875, 266.69561767578125, 441.139404296875]","[158.15777587890625, 326.194091796875, 108.537841796875, 114.9453125]",False,,0.19741106646577633,0.19741106646577633,0,localization,Japan_012383.jpg,D00,D00
640,2,0.5930895805358887,"[168.0457305908203, 419.2731018066406, 221.3771209716797, 460.4561767578125]","[168.0457305908203, 419.2731018066406, 53.331390380859375, 41.183074951171875]",False,,0.0,0.573678889364039,0,class_confusion,Japan_010847.jpg,D20,D00
647,1,0.5927312970161438,"[353.9190673828125, 404.90277099609375, 596.275146484375, 447.8995056152344]","[353.9190673828125, 404.90277099609375, 242.3560791015625, 42.996734619140625]",False,,0.3316533142817457,0.3316533142817457,1,localization,Japan_010948.jpg,D10,D10
76,0,0.5925325751304626,"[301.34991455078125, 484.89581298828125, 332.99603271484375, 554.111328125]","[301.34991455078125, 484.89581298828125, 31.6461181640625, 69.21551513671875]",False,,0.4774198715786962,0.4774198715786962,0,localization,Japan_001485.jpg,D00,D00
451,0,0.5921174883842468,"[448.5870056152344, 438.33154296875, 595.3645629882812, 579.4942626953125]","[448.5870056152344, 438.33154296875, 146.77755737304688, 141.1627197265625]",False,,0.0,0.4572835840565187,2,localization,Japan_007267.jpg,D00,D20
162,1,0.5911498665809631,"[257.9626770019531, 352.3592224121094, 362.3684387207031, 374.6904296875]","[257.9626770019531, 352.3592224121094, 104.40576171875, 22.331207275390625]",False,,0.0,0.0,0,background_or_unlabeled,Japan_002864.jpg,D10,D00
460,0,0.5907877087593079,"[86.27296447753906, 462.01080322265625, 163.245849609375, 536.209716796875]","[86.27296447753906, 462.01080322265625, 76.97288513183594, 74.19891357421875]",False,,0.3755255954526365,0.3755255954526365,0,localization,Japan_007367.jpg,D00,D00
73,1,0.5906554460525513,"[-0.27272701263427734, 551.5545654296875, 118.42024993896484, 596.457763671875]","[-0.27272701263427734, 551.5545654296875, 118.69297695159912, 44.9031982421875]",False,,0.0,0.8329748345172983,0,class_confusion,Japan_001385.jpg,D10,D00
380,0,0.5905599594116211,"[375.6517333984375, 494.78173828125, 505.6301574707031, 568.1384887695312]","[375.6517333984375, 494.78173828125, 129.97842407226562, 73.35675048828125]",False,,0.11375639880986191,0.11375639880986191,0,localization,Japan_006107.jpg,D00,D00
569,3,0.5893180966377258,"[358.1557312011719, 276.4905090332031, 411.5196838378906, 305.0561218261719]","[358.1557312011719, 276.4905090332031, 53.36395263671875, 28.56561279296875]",False,,0.02346793082239018,0.02346793082239018,3,background_or_unlabeled,Japan_009502.jpg,D40,D40
36,2,0.5888419151306152,"[0.1781255006790161, 362.965576171875, 102.4009017944336, 515.8865966796875]","[0.1781255006790161, 362.965576171875, 102.22277629375458, 152.9210205078125]",False,,0.14037999311510752,0.14037999311510752,2,localization,Japan_000641.jpg,D20,D20
494,1,0.5884095430374146,"[16.419410705566406, 545.4801025390625, 160.76913452148438, 577.5653686523438]","[16.419410705566406, 545.4801025390625, 144.34972381591797, 32.08526611328125]",False,,0.447803155038553,0.447803155038553,1,localization,Japan_007944.jpg,D10,D10
560,0,0.5871862173080444,"[347.68365478515625, 395.2283020019531, 403.1746520996094, 452.0281066894531]","[347.68365478515625, 395.2283020019531, 55.490997314453125, 56.7998046875]",False,,0.48859762120826544,0.48859762120826544,0,localization,Japan_009335.jpg,D00,D00
404,0,0.5867577791213989,"[373.1712951660156, 395.0456848144531, 526.320556640625, 595.8508911132812]","[373.1712951660156, 395.0456848144531, 153.14926147460938, 200.80520629882812]",False,,0.0,0.6010337069296107,2,class_confusion,Japan_006423.jpg,D00,D20
142,2,0.5835717916488647,"[410.68475341796875, 403.89483642578125, 560.41064453125, 525.6267700195312]","[410.68475341796875, 403.89483642578125, 149.72589111328125, 121.73193359375]",False,,0.44936938447403835,0.44936938447403835,2,localization,Japan_002577.jpg,D20,D20
209,0,0.5831415057182312,"[225.29421997070312, 380.9967041015625, 307.8416748046875, 466.1434631347656]","[225.29421997070312, 380.9967041015625, 82.54745483398438, 85.14675903320312]",False,,0.0,0.0,3,background_or_unlabeled,Japan_003596.jpg,D00,D40
607,0,0.5809235572814941,"[121.02033996582031, 439.6165466308594, 147.63525390625, 478.5259094238281]","[121.02033996582031, 439.6165466308594, 26.614913940429688, 38.90936279296875]",False,,0.0,0.0,0,background_or_unlabeled,Japan_010341.jpg,D00,D00
550,2,0.5807730555534363,"[0.6023883819580078, 403.43426513671875, 597.5440673828125, 592.5635986328125]","[0.6023883819580078, 403.43426513671875, 596.9416790008545, 189.12933349609375]",False,,0.3429608554584483,0.3429608554584483,2,localization,Japan_009159.jpg,D20,D20
369,1,0.5799645185470581,"[5.275332927703857, 512.3192138671875, 222.1712646484375, 550.504150390625]","[5.275332927703857, 512.3192138671875, 216.89593172073364, 38.1849365234375]",False,,0.2524704497647163,0.2524704497647163,1,localization,Japan_006022.jpg,D10,D10
131,3,0.5790143013000488,"[49.95289611816406, 344.9126892089844, 128.1132049560547, 379.43609619140625]","[49.95289611816406, 344.9126892089844, 78.16030883789062, 34.523406982421875]",False,,0.0,0.0,2,background_or_unlabeled,Japan_002389.jpg,D40,D20
187,3,0.5787582397460938,"[395.46112060546875, 496.9963073730469, 501.5639953613281, 549.6880493164062]","[395.46112060546875, 496.9963073730469, 106.10287475585938, 52.691741943359375]",False,,0.17468895438333715,0.17468895438333715,3,localization,Japan_003167.jpg,D40,D40
75,1,0.5774903297424316,"[457.4469299316406, 342.9989929199219, 598.400634765625, 368.9964599609375]","[457.4469299316406, 342.9989929199219, 140.95370483398438, 25.997467041015625]",False,,0.0,0.0,1,background_or_unlabeled,Japan_001423.jpg,D10,D10
425,2,0.5774587988853455,"[214.52236938476562, 465.5908508300781, 371.0143127441406, 553.3677368164062]","[214.52236938476562, 465.5908508300781, 156.491943359375, 87.77688598632812]",False,,0.24732060357253607,0.24732060357253607,2,localization,Japan_006888.jpg,D20,D20
619,1,0.575912594795227,"[172.32481384277344, 383.6879577636719, 255.4097442626953, 401.195068359375]","[172.32481384277344, 383.6879577636719, 83.08493041992188, 17.507110595703125]",False,,0.0,0.011826791330172138,2,background_or_unlabeled,Japan_010526.jpg,D10,D20
60,0,0.5745471715927124,"[472.50823974609375, 123.27886962890625, 598.2825317382812, 292.4991149902344]","[472.50823974609375, 123.27886962890625, 125.7742919921875, 169.22024536132812]",False,,0.0,0.20937100495163385,2,localization,Japan_001134.jpg,D00,D20
15,0,0.5736886858940125,"[334.42431640625, 472.8918762207031, 378.71575927734375, 585.8550415039062]","[334.42431640625, 472.8918762207031, 44.29144287109375, 112.96316528320312]",False,,0.0,0.05476228691474664,2,background_or_unlabeled,Japan_000257.jpg,D00,D20
262,0,0.573541522026062,"[309.1906433105469, 297.3122863769531, 423.1559753417969, 387.49774169921875]","[309.1906433105469, 297.3122863769531, 113.96533203125, 90.18545532226562]",False,,0.0,0.0,3,background_or_unlabeled,Japan_004217.jpg,D00,D40
347,1,0.5723994970321655,"[212.65576171875, 542.302001953125, 418.2243957519531, 589.636474609375]","[212.65576171875, 542.302001953125, 205.56863403320312, 47.33447265625]",False,,0.0,0.40328592865663615,0,localization,Japan_005587.jpg,D10,D00
141,3,0.5710501670837402,"[99.6867446899414, 515.3348999023438, 131.7381134033203, 542.648681640625]","[99.6867446899414, 515.3348999023438, 32.051368713378906, 27.31378173828125]",False,,0.17924735656232754,0.17924735656232754,3,localization,Japan_002557.jpg,D40,D40
733,3,0.5686227083206177,"[547.4859008789062, 514.681640625, 599.4196166992188, 556.4358520507812]","[547.4859008789062, 514.681640625, 51.9337158203125, 41.75421142578125]",False,,0.0,0.0,3,background_or_unlabeled,Japan_012062.jpg,D40,D40
666,2,0.5682110786437988,"[4.096698760986328, 398.9884033203125, 468.3480224609375, 598.8334350585938]","[4.096698760986328, 398.9884033203125, 464.2513236999512, 199.84503173828125]",False,,0.4718456757191003,0.4718456757191003,2,localization,Japan_011164.jpg,D20,D20
550,2,0.5671846866607666,"[1.1561036109924316, 405.3980712890625, 591.8524169921875, 547.8671264648438]","[1.1561036109924316, 405.3980712890625, 590.6963133811951, 142.46905517578125]",False,,0.4600982104692221,0.4600982104692221,2,localization,Japan_009159.jpg,D20,D20
727,3,0.5660247802734375,"[26.654800415039062, 469.8230285644531, 67.83333587646484, 491.0699768066406]","[26.654800415039062, 469.8230285644531, 41.17853546142578, 21.2469482421875]",False,,0.0,0.0017480137834615394,2,background_or_unlabeled,Japan_011978.jpg,D40,D20
2,0,0.5657931566238403,"[154.07931518554688, 366.0628662109375, 228.03526306152344, 593.1521606445312]","[154.07931518554688, 366.0628662109375, 73.95594787597656, 227.08929443359375]",False,,0.0,0.1227936040704766,2,localization,Japan_000004.jpg,D00,D20
182,2,0.5652163624763489,"[160.25474548339844, 321.12408447265625, 220.66360473632812, 356.5198059082031]","[160.25474548339844, 321.12408447265625, 60.40885925292969, 35.395721435546875]",False,,0.0,0.0,2,background_or_unlabeled,Japan_003067.jpg,D20,D20
670,1,0.5650066137313843,"[217.4347381591797, 469.4403076171875, 415.9983215332031, 492.3699645996094]","[217.4347381591797, 469.4403076171875, 198.56358337402344, 22.929656982421875]",False,,0.0,0.0,0,background_or_unlabeled,Japan_011215.jpg,D10,D00
418,2,0.5649032592773438,"[296.6488952636719, 505.380859375, 506.707763671875, 597.2801513671875]","[296.6488952636719, 505.380859375, 210.05886840820312, 91.8992919921875]",False,,0.0,0.8711734577619943,0,class_confusion,Japan_006752.jpg,D20,D00
1,2,0.5645335912704468,"[366.9955749511719, 335.5411376953125, 599.192626953125, 597.4002685546875]","[366.9955749511719, 335.5411376953125, 232.19705200195312, 261.859130859375]",False,,0.383843572693349,0.383843572693349,2,localization,Japan_000000.jpg,D20,D20
717,0,0.5640860795974731,"[349.6567077636719, 426.71539306640625, 422.8698425292969, 552.7728271484375]","[349.6567077636719, 426.71539306640625, 73.213134765625, 126.05743408203125]",False,,0.33615060310905653,0.33615060310905653,0,localization,Japan_011861.jpg,D00,D00
447,0,0.564049482345581,"[333.8410949707031, 143.44940185546875, 577.5770874023438, 452.07208251953125]","[333.8410949707031, 143.44940185546875, 243.73599243164062, 308.6226806640625]",False,,0.48811306227263507,0.48811306227263507,0,localization,Japan_007226.jpg,D00,D00
395,0,0.5628977417945862,"[271.7143249511719, 476.90283203125, 342.1811828613281, 597.0785522460938]","[271.7143249511719, 476.90283203125, 70.46685791015625, 120.17572021484375]",False,,0.49867711808952725,0.49867711808952725,0,localization,Japan_006253.jpg,D00,D00
534,2,0.5624105334281921,"[0.4432171583175659, 382.9803161621094, 139.11781311035156, 452.8897705078125]","[0.4432171583175659, 382.9803161621094, 138.674595952034, 69.90945434570312]",False,,0.0,0.18773211216494237,1,localization,Japan_008755.jpg,D20,D10
47,2,0.561860978603363,"[362.9768371582031, 337.5262451171875, 574.8629150390625, 599.3126831054688]","[362.9768371582031, 337.5262451171875, 211.88607788085938, 261.78643798828125]",False,,0.4759384506468681,0.4759384506468681,2,localization,Japan_000773.jpg,D20,D20
122,2,0.5610117316246033,"[357.0377197265625, 349.7479553222656, 599.4563598632812, 513.3525390625]","[357.0377197265625, 349.7479553222656, 242.41864013671875, 163.60458374023438]",False,,0.14770809812234684,0.14770809812234684,2,localization,Japan_002228.jpg,D20,D20
141,1,0.5584518313407898,"[250.10189819335938, 439.584228515625, 373.52691650390625, 458.49072265625]","[250.10189819335938, 439.584228515625, 123.42501831054688, 18.906494140625]",False,,0.0,0.0,2,background_or_unlabeled,Japan_002557.jpg,D10,D20
440,0,0.5582260489463806,"[265.48907470703125, 367.500244140625, 293.8401184082031, 446.4579162597656]","[265.48907470703125, 367.500244140625, 28.351043701171875, 78.95767211914062]",False,,0.26447182047574985,0.26447182047574985,0,localization,Japan_007120.jpg,D00,D00
